trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
313,False,"{'a': 0.3, 'e': 0.04371779725275094}",30,16,26.0288952746599,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.3, 'e': 0.043282797901965896}",25,15,19.445941952843626,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
315,False,"{'a': 0.3, 'e': 0.04285212686704019}",20,16,8.23488668910461,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.3, 'e': 0.042425741080511385}",25,6,24.869431036888702,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.3, 'e': 0.04200359790344555}",20,6,26.631475177595817,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.3, 'e': 0.04158565512117317}",20,1,29.27380311810815,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.3, 'e': 0.04117187093906774}",20,8,-31.174863830659532,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
320,False,"{'a': 0.3, 'e': 0.04076220397836621}",30,21,-7.521955436252324,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
321,False,"{'a': 0.3, 'e': 0.040356613272031154}",20,8,25.384824958333475,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.3, 'e': 0.039955058260653896}",25,12,6.617154282785651,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
323,False,"{'a': 0.3, 'e': 0.039557498788398725}",25,8,10.08807257367669,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
324,False,"{'a': 0.3, 'e': 0.039163895098987066}",30,17,24.62606680472501,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.3, 'e': 0.03877420783172201}",30,17,22.280113917615434,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.3, 'e': 0.03838839801755206}",25,11,28.33433698206767,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.3, 'e': 0.038006427075174314}",25,13,21.269040248010096,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.3, 'e': 0.0376282568071762}",20,13,9.678567141382674,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
329,False,"{'a': 0.3, 'e': 0.03725384939621581}",20,6,25.632647018112376,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.3, 'e': 0.036883167401239994}",20,8,20.382911718227565,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.3, 'e': 0.0365161737537404}",20,2,27.5290091826346,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
332,False,"{'a': 0.3, 'e': 0.03615283175404641}",25,15,18.306731580412514,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.3, 'e': 0.0357931050676553}",20,15,9.895276057314206,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
